# Luminosity, Inversion, and Lifetime of OH (rh=1 au)
# Table 5 of Schleicher & A'Hearn 1988, The Fluorescence of Cometary
# OH, ApJ 331, 1058-1077
#
# columns:
#    heliocentric radial velocity
#    fluorescence efficiencies (L/N)
#    inversion (n_u - n_l) / (n_u + n_l)
#    lifetime via A^2 Σ^+(ν=2,3)
#
# units: km/s, erg/s/molecule, unitless, s
#
# fluorescence efficiencies for other bands can be calculated from the
# ratios:
#     0-1/0-0 = 0.00356
#     0-2/0-0 = 0.00021
#     1-2/1-1 = 0.00610
#     2-0/2-2 = 0.274
#     2-1/2-2 = 1.921
#
rdot     0-0       1-0       1-1       2-2       I      tau
----  --------  --------  --------  --------  ------  ------
-60.  6.50e-15  2.21e-16  3.48e-16  1.38e-18  -0.304  2.87e5
-59.  6.39e-15  2.29e-16  3.61e-16  1.30e-18  -0.318  3.02e5
-58.  6.29e-15  2.39e-16  3.77e-16  1.25e-18  -0.324  3.14e5
-57.  6.19e-15  2.50e-16  3.93e-16  1.24e-18  -0.326  3.18e5
-56.  6.06e-15  2.58e-16  4.06e-16  1.27e-18  -0.327  3.11e5
-55.  5.88e-15  2.65e-16  4.17e-16  1.33e-18  -0.333  2.98e5
-54.  5.65e-15  2.67e-16  4.20e-16  1.40e-18  -0.344  2.83e5
-53.  5.36e-15  2.62e-16  4.13e-16  1.47e-18  -0.362  2.70e5
-52.  5.00e-15  2.50e-16  3.94e-16  1.54e-18  -0.383  2.58e5
-51.  4.59e-15  2.35e-16  3.70e-16  1.61e-18  -0.404  2.48e5
-50.  4.15e-15  2.22e-16  3.50e-16  1.66e-18  -0.418  2.41e5
-49.  3.73e-15  2.18e-16  3.43e-16  1.65e-18  -0.414  2.42e5
-48.  3.39e-15  2.21e-16  3.48e-16  1.58e-18  -0.387  2.52e5
-47.  3.10e-15  2.29e-16  3.60e-16  1.45e-18  -0.352  2.73e5
-46.  2.85e-15  2.36e-16  3.72e-16  1.31e-18  -0.335  3.03e5
