# %ECSV 0.9
# ---
# datatype:
# - {name: name, datatype: string}
# - {name: fluxd, unit: mag(AB), datatype: float64}
# - {name: lambda eff, unit: um, datatype: float64}
# - {name: lambda pivot, unit: um, datatype: float64}
# delimiter: ','
# meta: !!omap
# - comments: ['Apparent magnitude of the Sun, (AB mag)', 'Tables 3 and 4 of Willmer (2018, ApJS 236, 47)']
# schema: astropy-2.0
name,fluxd,lambda eff,lambda pivot
2MASS H,-26.91,1.6424,1.6495
2MASS J,-27.03,1.2321,1.2393
2MASS Ks,-26.49,2.1558,2.1638
ACS F330W,-25.14,0.3523,0.3521
ACS F410W,-25.9,0.4096,0.4064
ACS F435W,-26.22,0.4341,0.4328
ACS F475W,-26.49,0.471,0.4747
ACS F555W,-26.74,0.5333,0.5361
ACS F606W,-26.85,0.5812,0.5922
ACS F625W,-26.94,0.6267,0.6312
ACS F775W,-27.05,0.7654,0.7694
ACS F814W,-27.06,0.7987,0.8059
ACS F850LP,-27.07,0.8994,0.9016
Bessell 88 H,-26.91,1.6365,1.645
Bessell 88 J,-27.03,1.2258,1.2347
Bessell 88 K,-26.49,2.1574,2.1663
Bessell 88 L,-25.59,3.4602,3.4797
Bessell 88 Lprime,-25.4,3.8063,3.8247
Bessell 88 M,-24.93,4.725,4.7347
Bessell Murphy B,-26.24,0.4369,0.4378
Bessell Murphy Bt,-26.06,0.4215,0.419
Bessell Murphy Hp,-26.66,0.5188,0.5349
Bessell Murphy I,-27.06,0.7943,0.7984
Bessell Murphy R,-26.96,0.6436,0.6524
Bessell Murphy U,-25.23,0.3674,0.3597
Bessell Murphy V,-26.77,0.5457,0.5489
Bessell Murphy Vt,-26.71,0.5266,0.53
CFHT 12kx8k B,-26.3,0.44,0.4399
CFHT 12kx8k I,-27.06,0.8096,0.8159
CFHT 12kx8k R,-26.98,0.6578,0.661
Cousins I,-27.06,0.7993,0.8034
Cousins R,-26.97,0.6492,0.6582
DES Y,-27.07,0.983,0.9866
DES g,-26.52,0.4776,0.482
DES i,-27.05,0.7758,0.7807
DES r,-26.96,0.6374,0.6423
DES u,-25.44,0.3881,0.3859
DES z,-27.07,0.9139,0.9158
GALEX FUV,-14.27,0.1549,0.1535
GALEX NUV,-21.41,0.2304,0.2301
Hipparcos Hp,-26.7,0.5315,0.5508
IRAC 3.6,-25.56,3.5204,3.5508
IRAC 4.5,-25.06,4.4543,4.496
IRAC 5.8,-24.58,5.6564,5.7245
IRAC 8.0,-23.95,7.6741,7.8842
IRAS100,-18.43,96.9972,101.1267
IRAS12,-23.27,10.465,11.3562
IRAS25,-21.65,22.258,23.6079
IRAS60,-19.67,54.5695,60.3699
IRS 16,-22.47,15.402,15.9222
IRS 22,-21.72,21.7563,22.4704
Johnson B,-26.26,0.439,0.4396
Johnson U,-25.25,0.3694,0.3611
Johnson V,-26.77,0.5476,0.5511
LSST g,-26.52,0.4768,0.4808
LSST i,-27.05,0.7506,0.7537
LSST r,-26.93,0.6165,0.621
LSST u,-25.3,0.3743,0.3665
LSST y,-27.07,0.9688,0.9705
LSST z,-27.07,0.868,0.8686
MIPS 160,-17.43,153.6888,156.4274
MIPS 24,-21.57,23.3583,23.7592
MIPS 70,-19.17,69.3644,71.9861
MIRI F1000W,-23.42,9.8806,9.9544
MIRI F1130W,-23.14,11.2962,11.3087
MIRI F1500W,-22.54,14.9272,15.0651
MIRI F1800W,-22.15,17.876,17.9865
MIRI F2100W,-21.85,20.5607,20.795
MIRI F2550W,-21.41,25.1519,25.3639
MIRI F560W,-24.6,5.588,5.6362
MIRI F770W,-24.0,7.526,7.6428
NIC2 F110W,-27.05,1.084,1.1235
NIC2 F160W,-26.93,1.5859,1.603
NIC3 F110W,-27.05,1.0788,1.12
NIC3 F160W,-26.93,1.5872,1.6042
NIRCAM F070W,-27.02,0.6991,0.7046
NIRCAM F090W,-27.07,0.8988,0.9025
NIRCAM F115W,-27.05,1.1435,1.1543
NIRCAM F140M,-27.02,1.4024,1.4053
NIRCAM F150W,-26.98,1.4873,1.5007
NIRCAM F150W2,-26.87,1.4796,1.6588
NIRCAM F162M,-26.93,1.6244,1.6272
NIRCAM F164N,-26.91,1.6446,1.6445
NIRCAM F182M,-26.76,1.8389,1.8452
NIRCAM F187N,-26.72,1.8737,1.8739
NIRCAM F200W,-26.64,1.9681,1.9886
NIRCAM F200W,-26.64,1.9681,1.9886
NIRCAM F200W,-26.64,1.9681,1.9886
