# Cohen et al. 2003, AJ 126, 1090
# 2MASS photon-counting relative spectral response, J-band
# https://old.ipac.caltech.edu/2mass/releases/allsky/doc/sec6_4a.tbl1.html
#
wavelength  response
----------  -----------
10620       0.
10660       4.07068E-04
10700       1.54293E-03
10750       2.67013E-03
10780       5.50643E-03
10820       1.22532E-02
10840       2.02928E-02
10870       3.06470E-02
10890       4.05135E-02
10930       5.15324E-02
10960       5.63529E-02
11020       7.18073E-02
11050       0.273603
11070       0.340997
11090       0.358446
11120       0.380134
11160       0.330668
11170       0.239548
11200       0.250062
11230       0.283301
11280       0.258233
11290       0.251474
11320       0.538119
11340       0.223168
11380       0.536893
11400       0.110203
11430       0.529207
11470       0.261940
11540       0.320155
11590       0.174300
11640       0.607031
11670       0.617933
11700       0.676289
11730       0.727940
11750       0.746531
11790       0.830404
11820       0.790307
11860       0.809605
11880       0.836888
11920       0.835984
11950       0.749936
11990       0.708013
12020       0.698759
12090       0.704854
12160       0.700382
12210       0.732765
12270       0.705725
12310       0.842431
12360       0.921873
12400       0.952505
12440       0.967585
12470       0.959508
12530       0.922697
12550       0.892978
12580       0.852943
12600       0.802308
12650       0.750078
12700       0.678072
12750       0.652417
12790       0.638754
12860       0.642413
12920       0.648560
12970       0.682380
13020       0.752903
13050       0.775942
13070       0.811828
13100       0.777008
13130       0.721030
13160       0.952459
13190       0.855137
13230       0.841401
13260       1.00000
13300       0.894736
13330       0.854912
13340       0.537894
13360       0.279866
13390       0.906532
13430       0.689345
13460       0.553327
13490       0.243177
13530       1.43760E-02
13550       1.89290E-04
13600       4.00791E-02
13630       4.53595E-03
13700       3.19968E-04
13730       3.72168E-02
13770       5.38436E-04
13830       0.
13880       1.44443E-04
13920       3.29774E-03
13950       3.14438E-04
13960       8.47738E-03
13970       2.53731E-02
13980       0.118446
14000       1.35728E-04
14010       6.10438E-05
14020       5.21326E-02
14040       1.03768E-02
14060       4.78050E-02
14070       4.19727E-04
14100       2.36641E-03
14120       5.26108E-03
14160       8.64765E-03
14210       7.28868E-04
14260       3.48399E-04
14420       3.78145E-04
14500       0.
