# Cohen et al. 2003, AJ 126, 1090
# 2MASS photon-counting relative spectral response, Ks-band
# https://old.ipac.caltech.edu/2mass/releases/allsky/doc/sec6_4a.tbl3.html
#
wavelength  response
----------  -----------
19000       0.
19150       8.16050E-06
19270       1.61002E-05
19340       1.59036E-04
19390       4.94992E-04
19480       5.37610E-03
19570       1.18628E-02
19620       1.97031E-02
19690       4.21742E-02
19760       8.73064E-02
19810       0.152759
19890       0.248173
19900       0.190245
19980       0.233884
20080       0.294551
20140       0.398217
20190       0.336603
20280       0.620746
20370       0.764986
20450       0.746412
20610       0.625063
20720       0.725492
20750       0.689468
20820       0.787906
20890       0.818135
20990       0.822833
21060       0.863294
21130       0.877829
21200       0.854895
21240       0.895329
21380       0.918862
21450       0.926769
21550       0.926657
21690       0.900943
21760       0.922819
21850       0.842755
21970       0.945854
22080       0.980363
22130       0.987926
22180       0.984788
22320       0.964659
22370       0.981633
22480       0.983449
22560       0.961316
22600       0.979226
22630       1.00000
22650       0.963168
22700       0.981193
22720       0.968068
22760       0.910892
22770       0.982136
22810       0.889606
22840       0.891766
22860       0.942380
22910       0.840424
22930       0.804239
22950       0.707670
22970       0.657619
22990       0.560736
23060       0.443653
23110       0.348239
23160       0.230228
23200       0.162597
23250       0.135967
23280       9.21021E-02
23350       6.23901E-02
23390       4.30926E-02
23440       3.39814E-02
23460       3.09546E-02
23520       1.18112E-02
23610       6.83260E-03
23630       7.48518E-04
23700       2.99553E-03
23750       2.09686E-03
23840       4.06306E-04
23990       0.
