# Relative Spectral Response per erg (Equal-Energy); Jarrett et al. 2011
#  W4     RSR     uncertainty (parts per thousand)
 25300  0.27593E-16   348
 25400  0.60206E-16   349
 25500  0.73230E-13   370
 25600  0.39856E-13   370
 25700  0.30518E-14   371
 25800  0.12528E-32  1000
 25900  0.58995E-42  1000
 26000  0.22768E-30   707
 26100  0.12592E-30  1000
 26200  0.12959E-30  1000
 26300  0.89289E-29   707
 26400  0.73471E-31   707
 26500  0.11143E-28   707
 26600  0.93083E-36   707
 26700  0.98091E-15   343
 26800  0.13385E-14   342
 26900  0.50230E-14   341
 27000  0.50542E-14   342
 27100  0.36992E-14   341
 27200  0.82687E-14   341
 27300  0.44004E-13   339
 27400  0.30408E-14   339
 27500  0.59658E-15   338
 27600  0.21427E-24   707
 27700  0.21962E-15   338
 27800  0.43052E-14   336
 27900  0.35064E-15   337
 28000  0.49842E-15   336
 28100  0.89274E-16   337
 28200  0.25116E-14   337
 28300  0.26409E-14   335
 28400  0.20465E-13   335
 28500  0.77274E-14   334
 28600  0.25308E-28   707
 28700  0.16971E-28   707
 28800  0.30674E-31   707
 28900  0.10082E-14   332
 29000  0.50899E-14   332
 29100  0.37311E-13   332
 29200  0.51614E-15   332
 29300  0.33602E-13   330
 29400  0.29335E-13   330
 29500  0.45850E-13   330
 29600  0.53151E-14   330
 29700  0.36184E-14   330
 29800  0.32681E-15   329
 29900  0.33857E-14   328
 30000  0.21454E-13   328
 30100  0.49314E-14   327
 30200  0.11965E-12   327
 30300  0.55163E-13   326
 30400  0.60931E-14   326
 30500  0.29868E-13   325
 30600  0.21864E-33   707
 30700  0.37288E-26   707
 30800  0.11953E-24   707
 30900  0.82337E-25  1000
 31000  0.36773E-29  1000
 31100  0.21660E-27  1000
 31200  0.54858E-29  1000
 31300  0.26469E-36   707
 31400  0.54720E-30   707
 31500  0.40884E-15   321
 31600  0.72884E-14   321
 31700  0.17886E-13   321
 31800  0.19621E-13   320
 31900  0.15818E-14   319
 32000  0.24170E-14   319
 32100  0.31579E-15   318
 32200  0.75621E-13   336
 32300  0.56892E-14   319
 32400  0.71550E-13   335
 32500  0.16232E-12   335
 32600  0.97630E-14   316
 32700  0.36509E-13   316
 32800  0.54402E-14   317
 32900  0.84182E-14   317
 33000  0.14107E-12   332
 33100  0.44760E-14   315
 33200  0.68611E-13   333
 33300  0.39813E-29   707
 33400  0.56801E-34   707
 33500  0.11394E-31   707
 33600  0.98689E-40  1000
 33700  0.14092E-28   707
 33800  0.54218E-36  1000
 33900  0.21281E-37  1000
 34000  0.16600E-34  1000
 34100  0.50318E-32   707
 34200  0.17875E-33   707
 34300  0.53417E-30   707
 34400  0.52298E-15   311
 34500  0.16446E-14   311
 34600  0.47607E-15   310
 34700  0.31019E-15   310
 34800  0.29792E-26   707
 34900  0.12289E-32   707
 35000  0.16505E-27   707
 35100  0.29584E-26   707
 35200  0.91657E-29   707
 35300  0.43985E-23   707
 35400  0.83633E-30   707
 35500  0.30203E-25   707
 35600  0.70910E-32   707
 35700  0.75279E-15   305
 35800  0.21554E-13   305
 35900  0.20127E-14   304
 36000  0.10877E-12   304
 36100  0.18946E-13   303
 36200  0.47091E-13   303
 36300  0.24880E-13   302
 36400  0.16224E-13   302
 36500  0.64176E-13   301
 36600  0.20309E-13   300
 36700  0.38825E-13   300
 36800  0.20466E-12   299
 36900  0.37796E-13   299
 37000  0.21914E-14   298
 37100  0.12682E-13   298
 37200  0.46828E-14   298
 37300  0.21139E-13   296
 37400  0.11672E-13   297
 37500  0.46604E-14   297
 37600  0.41072E-14   296
 37700  0.21207E-13   295
 37800  0.74174E-14   296
 37900  0.24064E-13   294
 38000  0.16103E-12   294
 38100  0.58297E-13   294
 38200  0.51370E-13   292
 38300  0.26811E-14   293
 38400  0.62254E-13   292
 38500  0.14090E-12   292
 38600  0.25843E-13   291
 38700  0.58715E-13   290
 38800  0.13366E-12   290
 38900  0.46551E-13   290
 39000  0.91470E-13   290
 39100  0.38356E-13   289
 39200  0.51940E-13   288
 39300  0.49208E-13   288
 39400  0.14315E-12   287
 39500  0.41037E-13   287
 39600  0.70490E-13   286
 39700  0.52528E-13   286
 39800  0.28022E-13   286
 39900  0.76430E-13   286
 40000  0.14670E-25   707
 40100  0.30294E-32   707
 40200  0.42146E-30   707
 40300  0.98347E-36   707
 40400  0.11759E-24  1000
 40500  0.66983E-36   707
 40600  0.20657E-24   707
 40700  0.74794E-30  1000
 40800  0.10643E-32   707
 40900  0.40880E-29   707
 41000  0.60346E-29   707
 41100  0.53401E-31   707
 41200  0.20455E-12   294
 41300  0.14928E-13   281
 41400  0.35100E-12   292
 41500  0.88802E-14   280
 41600  0.21140E-12   280
 41700  0.49557E-12   291
 41800  0.92959E-12   290
 41900  0.90702E-12   290
 42000  0.19780E-13   278
 42100  0.21361E-13   278
 42200  0.35417E-12   289
 42300  0.79513E-30   707
 42400  0.12328E-32   707
 42500  0.10736E-27  1000
 42600  0.41232E-27   707
 42700  0.18580E-25   707
 42800  0.97783E-30   707
