# Tonry et al. 2018
# Based on Table 1, ATLAS c and o Bandpasses
#
# Note. The first six columns give wavelength [nm] and transmission of
# the ATLAS system in c band, the last six columns in o band (o1). The
# transmission includes 1.2 airmasses of atmosphere, mirror reflection
# and AR coatings, filter transmission calculated for an f/2 beam, and
# detector QE.
#
#lambda  T_c
#------  -----
4000     0.000   
4050     0.000   
4100     0.000   
4150     0.007   
4200     0.137   
4250     0.509   
4300     0.567   
4350     0.564   
4400     0.581   
4450     0.589   
4500     0.594   
4550     0.599   
4600     0.602   
4650     0.603   
4700     0.612   
4750     0.627   
4800     0.647   
4850     0.657   
4900     0.663
4950     0.670   
5000     0.678   
5050     0.678   
5100     0.688   
5150     0.687   
5200     0.699   
5250     0.693   
5300     0.689   
5350     0.696   
5400     0.703   
5450     0.708   
5500     0.715   
5550     0.708   
5600     0.710   
5650     0.707   
5700     0.704   
5750     0.697   
5800     0.710   
5850     0.713
5900     0.707   
5950     0.709   
6000     0.703   
6050     0.708   
6100     0.709   
6150     0.709   
6200     0.702   
6250     0.697   
6300     0.691   
6350     0.716   
6400     0.717   
6450     0.699   
6500     0.558   
6550     0.042   
6600     0.000   
6650     0.000   
6700     0.000   
6750     0.000   
6800     0.000
