# Tonry et al. 2018
# Based on Table 1, ATLAS c and o Bandpasses
#
# Note. The first six columns give wavelength [nm] and transmission of
# the ATLAS system in c band, the last six columns in o band (o1). The
# transmission includes 1.2 airmasses of atmosphere, mirror reflection
# and AR coatings, filter transmission calculated for an f/2 beam, and
# detector QE.
#
#lambda  T_o
#------  -----
5500     0.000   
5550     0.001   
5600     0.111   
5650     0.642   
5700     0.713   
5750     0.707   
5800     0.713   
5850     0.717   
5900     0.715   
5950     0.717   
6000     0.714   
6050     0.715   
6100     0.717   
6150     0.713   
6200     0.718   
6250     0.723   
6300     0.718   
6350     0.726   
6400     0.721
6450     0.727   
6500     0.727   
6550     0.732   
6600     0.735   
6650     0.736   
6700     0.737   
6750     0.742   
6800     0.747   
6850     0.719   
6900     0.681   
6950     0.731   
7000     0.737   
7050     0.737   
7100     0.735   
7150     0.731   
7200     0.705   
7250     0.703   
7300     0.702   
7350     0.710   
7400     0.708   
7450     0.700   
7500     0.692   
7550     0.682   
7600     0.490   
7650     0.491   
7700     0.644   
7750     0.644   
7800     0.631   
7850     0.625   
7900     0.611   
7950     0.600   
8000     0.587   
8050     0.570   
8100     0.562   
8150     0.531   
8200     0.365   
8250     0.021   
8300     0.000   
